color_id,color_hex,color_name,color_type
100,#F3F2EC,Escarcha Pura - 71YY 90/027,Blanco
101,#F1F1ED,Blanco Maravilloso - 93YY 89/012,Blanco
102,#F6F2E5,Alturas Polares - 65YY 90/062,Blanco
103,#F1F0E8,Blanco Quirúrgico - 83YY 88/033,Blanco
104,#F5EFE5,Tutú Blanco - 35YY 88/050,Blanco
105,#F2F1E5,Fantasía de Algodón - 83YY 89/055,Blanco
106,#F5EEE5,Toque de Malvavisco - 14YY 88/041,Blanco
107,#F4F0E4,Lino Claro - 61YY 89/040,Blanco
108,#EEEFEA,Blanco Crudo - 30GY 88/014,Blanco
109,#F7F0DF,Dejo de Vainilla - 53YY 89/081,Blanco
110,#F2EFE5,Alegría de Bebé - 67YY 88/044,Blanco
111,#EEEFE8,Algodón Distinguido - 04GY 87/028,Blanco
112,#F2ECE6,Nubes Etéreas - 93YR 86/030,Blanco
113,#F2ECE5,Blanco Cal - 01YY 86/034,Blanco
114,#F0EEE5,Sensación de Escarcha - 65YY 87/039,Blanco
115,#EEEEE7,Blanco Glacis - 98YY 82/022,Blanco
116,#F1ECE5,Blanco Polar - 03YY 86/021,Blanco
117,#F2EDE3,Boda Primaveral - 47YY 86/047,Blanco
118,#EDEAEB,Casamiento de Verano - 90RB 83/015,Blanco
119,#F0EEE3,Vallado de Madera - 81YY 87/031,Blanco
120,#F0EDE4,Brisa de Algodón - 56YY 87/037,Blanco
121,#ECEDE7,Gris Rocío - 11GY 85/016,Blanco
122,#F0EDE2,Blanco Divino - 66YY 85/045,Blanco
123,#F7EBDC,Chispazo de Marfil - 23YY 86/081,Blanco
124,#F1EDE0,Blanco Floral - 61YY 85/050,Blanco
125,#EFEDE2,Encaje Nordestino - 82YY 85/038,Blanco
126,#EBEAE8,Toque de Humo - 81YR 85/004,Blanco
127,#F3EDDD,Lino Voluptuoso - 57YY 86/073,Blanco
128,#E9EAE9,Pieza de Cristal - 50BG 83/009,Blanco
129,#E8EAE9,Soplo de Nieve - 10BB 83/014,Blanco
130,#E9E9E9,Sonata Lunar - 30BB 83/013,Blanco
131,#F0E8E2,Blanco Chantilly - 70YR 83/034,Blanco
132,#EEE9E3,Blanco Correcto - 90YR 83/026,Blanco
133,#EFE9E1,Perla Natural - 10YY 83/029,Blanco
134,#F6EBD8,Crema Chantilly - 38YY 85/096,Blanco
135,#F5EBD9,Blanco Arizona - 42YY 87/084,Blanco
136,#F1E8E0,Serenidad - 80YR 83/044,Blanco
137,#E9E9E7,Magnolia Cristalina - 50BB 83/006,Blanco
138,#EDE8E4,Brillo Suave - 50YR 83/020,Blanco
139,#ECE9E4,Toque Suave - 90YR 83/018,Blanco
140,#F0E7E1,Efecto Luminoso - 60YR 83/034,Blanco
141,#EDE8E2,Blanco Artesano - 20YY 83/025,Blanco
142,#EFE9DF,Precioso Momento - 40YY 83/043,Blanco
143,#F1E9DC,Blanco Panadero - 40YY 83/064,Blanco
144,#EEE6E2,Espacio Interno - 50YR 83/025,Blanco
145,#E9E7E6,Colinas de Invierno - 50RB 83/005,Blanco
146,#EEE9DE,Blanco Susurro - 44YY 84/042,Blanco
147,#ECE9E0,Blanco Casamiento - 70YY 83/037,Blanco
148,#F2EAD9,Blanco Terraza - 53YY 87/070,Blanco
149,#EFE8DD,Tafetán - 20YY 83/050,Blanco
150,#F4E9D7,Tempestad de Arena - 40YY 83/086,Blanco
151,#EEE7DF,Aria Suave - 90YR 83/035,Blanco
152,#F4E9D6,Fantasía Marfil - 39YY 84/095,Blanco
153,#F1E8DA,Leche con Vainilla - 29YY 84/067,Blanco
154,#F2E8D9,Bouquet de Almendras - 20YY 83/075,Blanco
155,#EDE8DD,Garza Real - 39YY 85/046,Blanco
156,#E6E7E4,Sensación Urbana - 75GY 81/005,Blanco
157,#EFE8DA,Café Suizo - 50YY 83/057,Blanco
158,#EFE8D9,Bruma Mística - 41YY 82/071,Blanco
159,#EFE5DC,Glamour - 00YY 83/046,Blanco
160,#EBE7DE,Blanco Natural - 50YY 83/029,Blanco
161,#F0E5DB,Toque de Durazno - 88YR 82/046,Blanco
162,#F3E8D4,Polen - 45YY 83/094,Blanco
163,#EFE4DA,Perfume de Día - 00YY 83/057,Blanco
164,#F1E8D4,Blanco Lino - 50YY 83/086,Blanco
165,#EBE6DA,Cielo Blanco - 43YY 81/051,Blanco
166,#F1E7D3,Jardín Neutral - 45YY 82/098,Blanco
167,#ECE6D8,Cisne Blanco - 60YY 83/062,Blanco
168,#EAE4DB,Mañana Alucinante - 16YY 79/040,Blanco
169,#E8E3DC,Blanco Estelar - 29YY 79/033,Blanco
170,#EDE3D5,Blanco Colmillo - 30YY 79/070,Blanco
171,#EDE3D5,Leyenda de los Lobos - 30YY 79/070,Blanco
172,#EAE3D7,Ópalo - 30YY 79/053,Blanco
173,#E7E4D9,Yogur Natural - 63YY 80/051,Blanco
174,#ECE2D1,Sensación Natural - 37YY 79/086,Blanco
175,#EAE0CD,Neutro Permanente - 39YY 77/091,Blanco
176,#ECEAED,Aire Fresco - 90BB 83/020,Soft Blanco
177,#EEEDE5,Suave Nieve - 77YY 86/032,Soft Blanco
178,#E8EAEB,Gota de Perla - 30BB 83/018,Soft Blanco
179,#EAE9E9,Inocencia - 30RB 83/011,Soft Blanco
180,#ECEAE6,Blanco Inspiración - 30YY 83/012,Soft Blanco
181,#E8EAE9,Atmósfera - 10BB 83/006,Soft Blanco
182,#E8E8EB,Brillo de Cristal - 70BB 83/020,Soft Blanco
183,#E8E9EA,Sereno - 70BB 83/015,Soft Blanco
184,#E6EAEA,Romance - 10BB 83/020,Soft Blanco
185,#E7EAE8,Caminata de Invierno - 30GG 83/013,Soft Blanco
186,#E9E8E8,Sendero de Pingüinos - 10RB 83/012,Soft Blanco
187,#EFE8E2,Cabello de Ángel - 60YR 83/026,Soft Blanco
188,#E9E8E8,Muy Simple - 90BB 83/011,Soft Blanco
189,#E9E9E7,Perla Agrisada - 10BB 83/003,Soft Blanco
190,#ECE8E5,Sombra Pálida - 90RR 83/009,Soft Blanco
191,#E9E8E8,Simple Presencia - 90BB 83/011,Soft Blanco
192,#EFE8E2,Calma Matutina - 60YR 83/026,Soft Blanco
193,#E6E9E9,Estrella Nueva - 10BB 83/017,Soft Blanco
194,#E8E9E7,Gotas de Lluvia - 30GG 83/006,Soft Blanco
195,#EDE8E3,Historia Secreta - 60YR 83/017,Soft Blanco
196,#E9EAE5,Ala Blanca - 50GY 83/010,Soft Blanco
197,#E6E9E9,Estrella Nueva,Soft Blanco
198,#EAE8E5,Sensación Diáfana - 04YR 82/010,Soft Blanco
199,#ECE9E2,Domingo Nublado - 30YY 83/026,Soft Blanco
200,#EBE8E4,Jazmín Dorado - 10YY 83/014,Soft Blanco
201,#EDE8E2,Malvavisco - 80YR 83/017,Soft Blanco
202,#E7EAE6,Día de Invierno - 50GG 83/011,Soft Blanco
203,#EAE8E5,Toque de Invierno - 50YR 83/003,Soft Blanco
204,#EFE8DF,Porcelana Antigua - 20YY 83/038,Soft Blanco
205,#EEE7E1,Caricia - 80YR 83/026,Soft Blanco
206,#EFE7E0,Vientos Calmos - 80YR 83/035,Soft Blanco
207,#EAE8E4,Martini Seco - 50YR 83/010,Soft Blanco
208,#EFE7E0,Vientos Calmos,Soft Blanco
209,#E8E8E5,Porcelana - 00NN 83/000,Soft Blanco
210,#EDE7E1,Erizo Blanco - 70YR 83/026,Soft Blanco
211,#E6E9E6,Ventisca - 90GG 83/011,Soft Blanco
212,#E8E8E5,Porcelana,Soft Blanco
213,#EDE8DF,Bruma Tranquila - 30YY 82/039,Soft Blanco
214,#EBE8E1,Blanco Minimalista - 40YY 83/021,Soft Blanco
215,#E8E8E4,Luna de Seda - 30BB 83/001,Soft Blanco
216,#E4E7E9,Lluvia de Barcelona - 59BB 81/022,Soft Blanco
217,#F0E8DA,Blanco Estibador - 45YY 83/062,Soft Blanco
218,#E8E7E3,Escondite Silencioso - 81YY 81/016,Soft Blanco
219,#EAE6E1,Toque de Rosa - 50YR 83/015,Soft Blanco
220,#E2E7E7,Mañana Fría - 56BG 81/023,Soft Blanco
221,#EDE4DE,Taza de Té - 55YR 83/024,Soft Blanco
222,#E2E5E6,Lluvia de Terciopelo - 06BB 79/016,Soft Blanco
223,#E8E4E0,Papel Valioso - 99YR 80/020,Soft Blanco
224,#EDE6D8,Niebla del Pacífico - 51YY 83/060,Soft Blanco
225,#DFE2E7,Suspiro de Lavanda - 66BB 77/035,Soft Blanco
226,#EBE5D8,Blanco Antiguo - 43YY 78/053,Soft Blanco
227,#E5E0DC,Sabiduría Blanca - 81YR 77/022,Soft Blanco
228,#DDE2E2,Andino - 09BB 77/019,Soft Blanco
229,#E1E2DD,Caminata Invernal - 13GY 77/016,Soft Blanco
230,#E4E1DB,Pájaro de Invierno - 30YY 78/018,Soft Blanco
231,#DEE2E0,Horizonte Urbano - 49GG 77/014,Soft Blanco
232,#E8E0D8,Lana Suave - 98YR 78/041,Soft Blanco
233,#E6E1D8,Blanco Gatito - 30YY 78/035,Soft Blanco
234,#E0E1DC,Chiffon - 30GY 76/017,Soft Blanco
235,#DAE0E2,Gris Estupendo - 04BB 75/027,Soft Blanco
236,#DAE0E2,Gris Estupendo,Soft Blanco
237,#E5DFD7,Beige Pálido - 27YY 77/042,Soft Blanco
238,#E7E0D3,Espejismo Vigoroso - 41YY 77/065,Soft Blanco
239,#DBDCE2,Velo Violeta - 70BB 74/040,Soft Blanco
240,#DBDDE0,Amatista Difusa - 70BB 73/030,Soft Blanco
241,#DCDCE0,Onda Acústica - 90BB 73/027,Soft Blanco
242,#DEDEDA,Gaviota en Reposo - 85YY 74/012,Soft Blanco
243,#E8DECE,Semilla de Perla - 40YY 75/084,Soft Blanco
244,#E3DCD4,Equinoccio de Otoño - 10YY 73/042,Soft Blanco
245,#DBDBDD,Carbón del Ártico - 90BB 73/022,Soft Blanco
246,#DCDBDB,Ballet Sobre Hielo - 30RB 73/016,Soft Blanco
247,#DDDCD9,Pantalla Gris - 30YY 72/009,Soft Blanco
248,#E3DDD2,Bizcocho de Leche - 40YY 74/056,Soft Blanco
249,#DEDCD7,Pelícano - 30YY 72/018,Soft Blanco
250,#DBDCDA,Blanco Tul - 50BG 72/006,Soft Blanco
251,#DADBDC,Glicina Blanca - 70BB 73/020,Soft Blanco
252,#E4DBD0,Flauta de Madera - 20YY 74/055,Soft Blanco
253,#DDDAD8,Conejo Blanco - 50RR 72/010,Soft Blanco
254,#E0DAD5,Bello Brezo - 90YR 73/029,Soft Blanco
255,#DFDAD5,Cabras Blancas - 10YY 72/021,Soft Blanco
256,#DFDAD5,Cabras Blancas,Soft Blanco
257,#DADAD9,Toque de Gris - 30BB 72/003,Soft Blanco
258,#D9DAD8,Nubes Grises - 08GG 72/006,Soft Blanco
259,#DADBD6,Plaza - 50GY 72/012,Soft Blanco
260,#D8D8D7,Campo Nevado - 00NN 72/000,Soft Blanco
261,#D7D9D6,Hielo Sombreado - 30GG 72/008,Soft Blanco
262,#A43F43,Rojo Borneo Satinol,Rojo Popular
263,#A0423A,Bermellon Duralba,Rojo Popular
264,#804940,Rojo Tanino Duralba,Rojo Popular
265,#A23530,Rojo Intenso,Rojo Popular
266,#86463A,Teja Duralba Techos,Rojo Popular
267,#80473D,Rojo Colonial Pisos,Rojo Popular
268,#A7151C,Bermellón Esm Std,Rojo Popular
269,#9E141E,Bermellón Albalux,Rojo Popular
270,#7E1A25,Carmín Albalux,Rojo Popular
271,#6A2E23,Cedro Albalux,Rojo Popular
272,#EEE9EB,Momento de Promesa - 90RB 83/023,Rojo
273,#F7E7E3,Rubor Neutro - 31YR 84/056,Rojo
274,#EEE8EA,Lazo de Cinta - 90RB 83/030,Rojo
275,#F3E7E4,Sensación Japonesa - 18YR 83/042,Rojo
276,#F0E7E7,Rosa Sombra - 50RR 83/034,Rojo
277,#EFE7E7,Flor de Saúco - 53RR 83/031,Rojo
278,#F2E7E3,Rosa Tímido - 10YR 83/040,Rojo
279,#F0E7E5,Rosa Puro - 90RR 83/030,Rojo
280,#EFE6E5,Deleite - 50RR 83/029,Rojo
281,#F0E5E5,Herencia - 50RR 83/040,Rojo
282,#F1E5E4,Salmón Pálido - 70RR 83/040,Rojo
283,#EFE6E5,Algodón de Azúcar - 50RR 83/029,Rojo
284,#F3E7DE,Brisa Chic - 82YR 83/056,Rojo
285,#ECE7E3,Sombra Suave - 10YR 83/015,Rojo
286,#F2E6DE,Día de Ocio - 90YR 83/053,Rojo
287,#F1DEE6,Delicia Rosa - 19RR 78/088,Rojo
288,#F4E0E1,Rosa Gélido - 64RR 80/073,Rojo
289,#EAE2E6,Mousse Rosado - 89RB 79/040,Rojo
290,#EFDDE6,Dulce Bebé - 01RR 77/091,Rojo
291,#F6DFDD,Rosa Perfecto - 98RR 80/078,Rojo
292,#EBDEE8,Flor de Lis - 79RB 76/076,Rojo
293,#F5DFDB,Porcelana Rosada - 16YR 79/080,Rojo
294,#F5D8E1,Bombón de Frutilla - 36RR 75/114,Rojo
295,#EFDFDF,Sensación de Rosas - 72RR 78/058,Rojo
296,#F3DEDA,Jardín de Fulgores - 18YR 78/079,Rojo
297,#F2DCDC,Toque de Cereza - 80RR 77/083,Rojo
298,#F6D8DA,Moño Rosa - 82RR 76/111,Rojo
299,#E8DAE5,Sensación Rosada - 81RB 75/080,Rojo
300,#EEDCDA,Rosa Brumoso - 90RR 76/062,Rojo
301,#F1D5DD,Escarcha Rosa - 33RR 74/111,Rojo
302,#ECDADD,Rosa Romántico - 50RR 75/068,Rojo
303,#F2D6DA,Rosa Sinfonía - 55RR 75/106,Rojo
304,#EBDCDB,Niñita - 90RR 75/053,Rojo
305,#EDD3DF,Malva Rosada - 13RR 72/121,Rojo
306,#E8DADD,Almendra Portuguesa - 30RR 74/058,Rojo
307,#EBD2E2,Helado - 95RB 71/132,Rojo
308,#EBDAD9,Playa Rosa - 70RR 74/059,Rojo
309,#E4DBDF,Ayer - 90RB 74/044,Rojo
310,#F1DAD2,Ballerinas - 43YR 75/089,Rojo
311,#F6D6CF,Belleza - 21YR 73/125,Rojo
312,#E4D2E2,Violeta Discreto - 69RB 70/114,Rojo
313,#E5D1E0,Frutilla Sensacional - 84RB 69/108,Rojo
314,#EFD8CF,Crema de Papaya - 50YR 76/087,Rojo
315,#F5CED1,Piñón - 78RR 71/148,Rojo
316,#F9CECD,Rosa Casa de Muñecas - 93RR 70/157,Rojo
317,#F4D3CB,Pink à la mode - 25YR 71/129,Rojo
318,#F5D1C8,Rosa de Hadas - 24YR 72/146,Rojo
319,#E6C8DD,Rosa Rosa - 86RB 65/163,Rojo
320,#ECD0CF,Limonada Rosa - 90RR 69/101,Rojo
321,#E5CED4,Blanco Frambuesa - 30RR 67/093,Rojo
322,#E8C4DB,Helado de Cereza - 94RB 64/182,Rojo
323,#EDC6D0,Dama de Honor - 51RR 68/146,Rojo
324,#EDC9CC,Morado Suave - 79RR 66/131,Rojo
325,#F5CAC1,Rosa Inspirador - 28YR 67/165,Rojo
326,#F3C4C9,Amor Eterno - 77RR 67/177,Rojo
327,#E0C0DA,Rosado Intenso - 84RB 60/175,Rojo
328,#E8BDD3,Rosa Vivo - 10RR 60/197,Rojo
329,#EFBFC9,Reflejo Vivaz - 57RR 62/183,Rojo
330,#EBC5C6,Rosa Tudor - 90RR 63/139,Rojo
331,#F2BCC2,Rosa Algodón Dulce - 75RR 63/207,Rojo
332,#E4B6D6,Rosa Angora - 95RB 56/237,Rojo
333,#E6C4C5,Rosa Nevada - 90RR 62/124,Rojo
334,#E3C1C9,Rosa Inglesa - 50RR 61/129,Rojo
335,#E9B9CA,Rosa Turco - 30RR 61/195,Rojo
336,#ECB8BE,Rosa Fantástico - 71RR 58/199,Rojo
337,#EBBABB,Terciopelo Rosa - 90RR 58/177,Rojo
338,#E3B6C2,Pashmina Rosada - 47RR 55/175,Rojo
339,#D6BBC9,Bailarina - 10RR 56/121,Rojo
340,#D8B6C3,Rosa Retro - 30RR 54/145,Rojo
341,#ECA8B9,Rosa Chispeante - 54RR 52/260,Rojo
342,#DDB5BA,Estrella de Cine - 70RR 54/153,Rojo
343,#EAB0B2,Muchacha - 90RR 52/214,Rojo
344,#E6A7BE,Pastilla de Cereza - 32RR 50/280,Rojo
345,#F0A9B1,Cactus Dalia - 78RR 54/274,Rojo
346,#E1A5C3,Rosa Valentín - 14RR 48/276,Rojo
347,#E7A8BA,Fiesta de Rosas - 49RR 50/250,Rojo
